catalogue_obsid|catalogue_obsdate|catalogue_lmjd|catalogue_mjd|catalogue_planid|catalogue_spid|catalogue_fiberid|catalogue_class|catalogue_subclass|catalogue_z|catalogue_ra|catalogue_dec|stellar_teff|stellar_logg|stellar_feh|stellar_rv|obsfits_file
558115129|2017-03-26|57839|57838|HD152148N325601M02|15|129|QSO|Non|0.8750000000|230.5501979000|34.0282875000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-129.fits.gz
558102092|2017-03-26|57839|57838|HD152148N325601M02|2|92|QSO|Non|0.7502160000|228.4205000000|31.2336200000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp02-092.fits.gz
558102061|2017-03-26|57839|57838|HD152148N325601M02|2|61|QSO|Non|1.8007000000|229.8095000000|31.3100200000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp02-061.fits.gz
558107126|2017-03-26|57839|57838|HD152148N325601M02|7|126|QSO|Non|0.0365280000|232.7368929000|31.6137452000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-126.fits.gz
558115131|2017-03-26|57839|57838|HD152148N325601M02|15|131|QSO|Non|0.6621300000|230.4171984000|34.0711413000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-131.fits.gz
558115155|2017-03-26|57839|57838|HD152148N325601M02|15|155|QSO|Non|1.3000000000|229.4944000000|34.1276700000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-155.fits.gz
558211034|2017-03-27|57840|57839|HD092029N522703M02|11|34|QSO|Non|1.2900000000|141.0340100000|54.7288760000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-034.fits.gz
558211039|2017-03-27|57840|57839|HD092029N522703M02|11|39|QSO|Non|1.1585000000|140.8619100000|54.6402140000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-039.fits.gz
558211072|2017-03-27|57840|57839|HD092029N522703M02|11|72|QSO|Non|1.2120000000|140.8196900000|54.1911230000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-072.fits.gz
558211079|2017-03-27|57840|57839|HD092029N522703M02|11|79|QSO|Non|2.0083280000|139.7969854000|53.9829588000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-079.fits.gz
558211114|2017-03-27|57840|57839|HD092029N522703M02|11|114|QSO|Non|1.4450000000|140.4694500000|54.4491650000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-114.fits.gz
558211150|2017-03-27|57840|57839|HD092029N522703M02|11|150|QSO|Non|-9999.0000000000|139.4409895000|54.7015782000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-150.fits.gz
558211176|2017-03-27|57840|57839|HD092029N522703M02|11|176|QSO|Non|1.3640500000|139.7689600000|54.3879050000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-176.fits.gz
558211179|2017-03-27|57840|57839|HD092029N522703M02|11|179|QSO|Non|1.1250000000|139.9884700000|54.5660840000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-179.fits.gz
558211238|2017-03-27|57840|57839|HD092029N522703M02|11|238|QSO|Non|0.2303140000|140.2979700000|54.2365600000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp11-238.fits.gz
558207046|2017-03-27|57840|57839|HD092029N522703M02|7|46|QSO|Non|1.7500000000|141.2429297000|50.8364399000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-046.fits.gz
558207068|2017-03-27|57840|57839|HD092029N522703M02|7|68|QSO|Non|2.3599890000|142.2051700000|50.8251640000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-068.fits.gz
558207103|2017-03-27|57840|57839|HD092029N522703M02|7|103|QSO|Non|0.5980000000|142.0719500000|50.9390900000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-103.fits.gz
558207106|2017-03-27|57840|57839|HD092029N522703M02|7|106|QSO|Non|-9999.0000000000|141.5196850000|50.8853064000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-106.fits.gz
558207141|2017-03-27|57840|57839|HD092029N522703M02|7|141|QSO|Non|2.7439370000|143.0921358000|51.2034542000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-141.fits.gz
558207146|2017-03-27|57840|57839|HD092029N522703M02|7|146|QSO|Non|0.5763330000|143.4503234000|51.2348147000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-146.fits.gz
558207153|2017-03-27|57840|57839|HD092029N522703M02|7|153|QSO|Non|1.2500000000|141.5032018000|50.5693484000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-153.fits.gz
558207161|2017-03-27|57840|57839|HD092029N522703M02|7|161|QSO|Non|-9999.0000000000|141.3921970000|50.3857199000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp07-161.fits.gz
558212208|2017-03-27|57840|57839|HD092029N522703M02|12|208|QSO|Non|0.9754500000|143.2544612000|53.8660154000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp12-208.fits.gz
558214208|2017-03-27|57840|57839|HD092029N522703M02|14|208|QSO|Non|2.4914900000|137.1029586000|52.8882312000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-208.fits.gz
558214193|2017-03-27|57840|57839|HD092029N522703M02|14|193|QSO|Non|2.4740260000|136.9566468000|52.4460407000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-193.fits.gz
558214166|2017-03-27|57840|57839|HD092029N522703M02|14|166|QSO|Non|1.5350000000|137.6155700000|52.8883510000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-166.fits.gz
558214149|2017-03-27|57840|57839|HD092029N522703M02|14|149|QSO|Non|0.2683610000|137.4185100000|53.4519520000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-149.fits.gz
558214142|2017-03-27|57840|57839|HD092029N522703M02|14|142|QSO|Non|0.7000000000|137.4566782000|53.3778228000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-142.fits.gz
558214136|2017-03-27|57840|57839|HD092029N522703M02|14|136|QSO|Non|1.6896020000|137.4241860000|53.2606892000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-136.fits.gz
558214080|2017-03-27|57840|57839|HD092029N522703M02|14|80|QSO|Non|1.7750000000|138.0422849000|53.1881151000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-080.fits.gz
558214150|2017-03-27|57840|57839|HD092029N522703M02|14|150|QSO|Non|2.4267700000|137.1326000000|53.2829700000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-150.fits.gz
558214165|2017-03-27|57840|57839|HD092029N522703M02|14|165|QSO|Non|0.3605000000|137.6190057000|53.0021481000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp14-165.fits.gz
558216040|2017-03-27|57840|57839|HD092029N522703M02|16|40|QSO|Non|1.5096890000|137.5596316000|54.2161031000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp16-040.fits.gz
558216049|2017-03-27|57840|57839|HD092029N522703M02|16|49|QSO|Non|-9999.0000000000|137.8089452000|54.2470967000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp16-049.fits.gz
558216094|2017-03-27|57840|57839|HD092029N522703M02|16|94|QSO|Non|2.4368400000|137.4139361000|53.7341590000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp16-094.fits.gz
558216169|2017-03-27|57840|57839|HD092029N522703M02|16|169|QSO|Non|2.1322100000|138.1127720000|53.8981100000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp16-169.fits.gz
558216171|2017-03-27|57840|57839|HD092029N522703M02|16|171|QSO|Non|2.3048650000|138.5232036000|53.9820237000|||||20170327/HD092029N522703M02/spec-57840-HD092029N522703M02_sp16-171.fits.gz
